time_s,direction,role,mean_rate,change_from_rest
0.0000,L,input (LPLC2+LC4),0.0201487,0
0.0167,L,input (LPLC2+LC4),0.0201487,-1.28842e-12
0.0333,L,input (LPLC2+LC4),0.0201487,-2.39062e-12
0.0500,L,input (LPLC2+LC4),0.0201487,-3.33349e-12
0.0667,L,input (LPLC2+LC4),0.0201487,-4.1401e-12
0.0833,L,input (LPLC2+LC4),0.0201487,-4.83012e-12
0.1000,L,input (LPLC2+LC4),0.031338,0.0111893
0.1167,L,input (LPLC2+LC4),0.0375751,0.0174264
0.1333,L,input (LPLC2+LC4),0.0411147,0.020966
0.1500,L,input (LPLC2+LC4),0.0432449,0.0230962
0.1667,L,input (LPLC2+LC4),0.0446686,0.0245199
0.1833,L,input (LPLC2+LC4),0.0457566,0.0256079
0.2000,L,input (LPLC2+LC4),0.0466999,0.0265512
0.2167,L,input (LPLC2+LC4),0.0475963,0.0274476
0.2333,L,input (LPLC2+LC4),0.0484964,0.0283477
0.2500,L,input (LPLC2+LC4),0.0494278,0.0292791
0.2667,L,input (LPLC2+LC4),0.0504071,0.0302584
0.2833,L,input (LPLC2+LC4),0.051446,0.0312973
0.3000,L,input (LPLC2+LC4),0.0525541,0.0324053
0.3167,L,input (LPLC2+LC4),0.0537407,0.0335919
0.3333,L,input (LPLC2+LC4),0.0550156,0.0348669
0.3500,L,input (LPLC2+LC4),0.0563896,0.0362409
0.3667,L,input (LPLC2+LC4),0.0578751,0.0377263
0.3833,L,input (LPLC2+LC4),0.0594861,0.0393373
0.4000,L,input (LPLC2+LC4),0.0612392,0.0410905
0.4167,L,input (LPLC2+LC4),0.063154,0.0430053
0.4333,L,input (LPLC2+LC4),0.0652537,0.045105
0.4500,L,input (LPLC2+LC4),0.0675662,0.0474175
0.4667,L,input (LPLC2+LC4),0.070125,0.0499763
0.4833,L,input (LPLC2+LC4),0.0729711,0.0528224
0.5000,L,input (LPLC2+LC4),0.0761551,0.0560064
0.5167,L,input (LPLC2+LC4),0.0797399,0.0595911
0.5333,L,input (LPLC2+LC4),0.0838046,0.0636559
0.5500,L,input (LPLC2+LC4),0.0884505,0.0683018
0.5667,L,input (LPLC2+LC4),0.0938088,0.0736601
0.5833,L,input (LPLC2+LC4),0.100052,0.0799036
0.6000,L,input (LPLC2+LC4),0.107413,0.0872643
0.6167,L,input (LPLC2+LC4),0.116209,0.0960605
0.6333,L,input (LPLC2+LC4),0.126888,0.106739
0.6500,L,input (LPLC2+LC4),0.140093,0.119944
0.6667,L,input (LPLC2+LC4),0.156786,0.136637
0.6833,L,input (LPLC2+LC4),0.178444,0.158296
0.7000,L,input (LPLC2+LC4),0.207438,0.187289
0.7167,L,input (LPLC2+LC4),0.247714,0.227565
0.7333,L,input (LPLC2+LC4),0.306077,0.285929
0.7500,L,input (LPLC2+LC4),0.382481,0.362332
0.7667,L,input (LPLC2+LC4),0.439451,0.419303
0.7833,L,input (LPLC2+LC4),0.467836,0.447688
0.8000,L,input (LPLC2+LC4),0.24125,0.221101
0.8167,L,input (LPLC2+LC4),0.127375,0.107226
0.8333,L,input (LPLC2+LC4),0.0714437,0.051295
0.8500,L,input (LPLC2+LC4),0.0445563,0.0244075
0.8667,L,input (LPLC2+LC4),0.031816,0.0116673
0.8833,L,input (LPLC2+LC4),0.025798,0.00564923
0.9000,L,input (LPLC2+LC4),0.0229357,0.00278698
0.9167,L,input (LPLC2+LC4),0.0215531,0.00140433
0.9333,L,input (LPLC2+LC4),0.0208704,0.000721721
0.9500,L,input (LPLC2+LC4),0.0205255,0.000376811
0.9667,L,input (LPLC2+LC4),0.020348,0.000199249
0.9833,L,input (LPLC2+LC4),0.0202552,0.00010644
1.0000,L,input (LPLC2+LC4),0.0202061,5.73396e-05
1.0167,L,input (LPLC2+LC4),0.0201798,3.11257e-05
1.0333,L,input (LPLC2+LC4),0.0201658,1.70271e-05
1.0500,L,input (LPLC2+LC4),0.0201581,9.3909e-06
1.0667,L,input (LPLC2+LC4),0.0201539,5.2227e-06
1.0833,L,input (LPLC2+LC4),0.0201517,2.92728e-06
1.1000,L,input (LPLC2+LC4),0.0201504,1.651e-06
1.1167,L,input (LPLC2+LC4),0.0201497,9.34658e-07
1.1333,L,input (LPLC2+LC4),0.0201493,5.2934e-07
1.1500,L,input (LPLC2+LC4),0.020149,2.98704e-07
1.1667,L,input (LPLC2+LC4),0.0201489,1.67133e-07
1.1833,L,input (LPLC2+LC4),0.0201488,9.21439e-08
0.0000,F,input (LPLC2+LC4),0.0201487,0
0.0167,F,input (LPLC2+LC4),0.0201487,-1.28842e-12
0.0333,F,input (LPLC2+LC4),0.0201487,-2.39062e-12
0.0500,F,input (LPLC2+LC4),0.0201487,-3.33349e-12
0.0667,F,input (LPLC2+LC4),0.0201487,-4.1401e-12
