variant,band,run,accuracy
real,fast,real_s0,1.0
real,fast,real_s1,0.995
real,fast,real_s2,1.0
real,trained,real_s0,1.0
real,trained,real_s1,1.0
real,trained,real_s2,1.0
real,slow,real_s0,1.0
real,slow,real_s1,1.0
real,slow,real_s2,1.0
shuffled,fast,shuffled_s0,1.0
shuffled,fast,shuffled_s1,0.98
shuffled,fast,shuffled_s2,0.9525
shuffled,trained,shuffled_s0,1.0
shuffled,trained,shuffled_s1,1.0
shuffled,trained,shuffled_s2,0.99
shuffled,slow,shuffled_s0,0.8875
shuffled,slow,shuffled_s1,1.0
shuffled,slow,shuffled_s2,1.0
readout_only,fast,readout_only_s0,0.8525
readout_only,fast,readout_only_s1,0.8525
readout_only,fast,readout_only_s2,0.86
readout_only,trained,readout_only_s0,0.995
readout_only,trained,readout_only_s1,0.9975
readout_only,trained,readout_only_s2,0.9975
readout_only,slow,readout_only_s0,1.0
readout_only,slow,readout_only_s1,1.0
readout_only,slow,readout_only_s2,1.0
