variant,run,iter,val_accuracy
real,real_s0,10,0.16796875
real,real_s0,20,0.703125
real,real_s0,30,1.0
real,real_s0,40,1.0
real,real_s0,50,0.96484375
real,real_s0,60,1.0
real,real_s0,70,1.0
real,real_s0,80,1.0
real,real_s0,90,1.0
real,real_s0,100,1.0
real,real_s0,110,1.0
real,real_s0,120,1.0
real,real_s0,130,1.0
real,real_s0,140,1.0
real,real_s0,150,1.0
real,real_s0,160,1.0
real,real_s0,170,1.0
real,real_s0,180,1.0
real,real_s0,190,1.0
real,real_s0,200,1.0
real,real_s0,210,1.0
real,real_s0,220,1.0
real,real_s0,230,1.0
real,real_s0,240,1.0
real,real_s0,250,1.0
real,real_s0,260,1.0
real,real_s0,270,1.0
real,real_s0,280,1.0
real,real_s0,290,1.0
real,real_s0,300,1.0
real,real_s1,10,0.234375
real,real_s1,20,0.703125
real,real_s1,30,1.0
real,real_s1,40,0.99609375
real,real_s1,50,1.0
real,real_s1,60,0.99609375
real,real_s1,70,0.99609375
real,real_s1,80,1.0
real,real_s1,90,1.0
real,real_s1,100,1.0
real,real_s1,110,1.0
real,real_s1,120,0.9921875
real,real_s1,130,1.0
real,real_s1,140,1.0
real,real_s1,150,1.0
real,real_s1,160,1.0
real,real_s1,170,1.0
real,real_s1,180,1.0
real,real_s1,190,1.0
real,real_s1,200,1.0
real,real_s1,210,1.0
real,real_s1,220,1.0
real,real_s1,230,1.0
real,real_s1,240,1.0
real,real_s1,250,1.0
real,real_s1,260,1.0
real,real_s1,270,1.0
real,real_s1,280,1.0
real,real_s1,290,1.0
real,real_s1,300,1.0
real,real_s2,10,0.21875
real,real_s2,20,0.796875
real,real_s2,30,0.93359375
real,real_s2,40,0.9609375
real,real_s2,50,1.0
real,real_s2,60,1.0
real,real_s2,70,1.0
real,real_s2,80,1.0
real,real_s2,90,1.0
real,real_s2,100,1.0
real,real_s2,110,1.0
real,real_s2,120,1.0
real,real_s2,130,1.0
real,real_s2,140,1.0
real,real_s2,150,1.0
real,real_s2,160,1.0
real,real_s2,170,1.0
real,real_s2,180,1.0
real,real_s2,190,1.0
real,real_s2,200,0.98046875
real,real_s2,210,1.0
real,real_s2,220,1.0
real,real_s2,230,1.0
real,real_s2,240,1.0
real,real_s2,250,1.0
real,real_s2,260,1.0
real,real_s2,270,1.0
real,real_s2,280,1.0
real,real_s2,290,1.0
real,real_s2,300,1.0
shuffled,shuffled_s0,10,0.16796875
shuffled,shuffled_s0,20,0.16796875
shuffled,shuffled_s0,30,0.16796875
shuffled,shuffled_s0,40,0.41796875
shuffled,shuffled_s0,50,0.4375
shuffled,shuffled_s0,60,0.95703125
shuffled,shuffled_s0,70,0.984375
shuffled,shuffled_s0,80,1.0
shuffled,shuffled_s0,90,1.0
shuffled,shuffled_s0,100,0.9921875
shuffled,shuffled_s0,110,0.9921875
shuffled,shuffled_s0,120,1.0
shuffled,shuffled_s0,130,1.0
shuffled,shuffled_s0,140,1.0
shuffled,shuffled_s0,150,1.0
shuffled,shuffled_s0,160,1.0
shuffled,shuffled_s0,170,1.0
shuffled,shuffled_s0,180,1.0
shuffled,shuffled_s0,190,1.0
shuffled,shuffled_s0,200,1.0
shuffled,shuffled_s0,210,1.0
shuffled,shuffled_s0,220,1.0
shuffled,shuffled_s0,230,1.0
shuffled,shuffled_s0,240,1.0
shuffled,shuffled_s0,250,1.0
shuffled,shuffled_s0,260,1.0
shuffled,shuffled_s0,270,1.0
shuffled,shuffled_s0,280,1.0
shuffled,shuffled_s0,290,1.0
shuffled,shuffled_s0,300,1.0
shuffled,shuffled_s1,10,0.16796875
shuffled,shuffled_s1,20,0.16796875
shuffled,shuffled_s1,30,0.36328125
shuffled,shuffled_s1,40,0.44921875
shuffled,shuffled_s1,50,0.64453125
shuffled,shuffled_s1,60,0.75
shuffled,shuffled_s1,70,0.77734375
shuffled,shuffled_s1,80,0.984375
shuffled,shuffled_s1,90,0.9296875
shuffled,shuffled_s1,100,0.984375
shuffled,shuffled_s1,110,1.0
shuffled,shuffled_s1,120,1.0
shuffled,shuffled_s1,130,1.0
shuffled,shuffled_s1,140,1.0
shuffled,shuffled_s1,150,1.0
shuffled,shuffled_s1,160,1.0
shuffled,shuffled_s1,170,1.0
shuffled,shuffled_s1,180,1.0
shuffled,shuffled_s1,190,1.0
shuffled,shuffled_s1,200,1.0
shuffled,shuffled_s1,210,1.0
shuffled,shuffled_s1,220,1.0
shuffled,shuffled_s1,230,1.0
shuffled,shuffled_s1,240,1.0
shuffled,shuffled_s1,250,1.0
shuffled,shuffled_s1,260,1.0
shuffled,shuffled_s1,270,1.0
shuffled,shuffled_s1,280,1.0
shuffled,shuffled_s1,290,1.0
shuffled,shuffled_s1,300,1.0
shuffled,shuffled_s2,10,0.16796875
shuffled,shuffled_s2,20,0.16796875
shuffled,shuffled_s2,30,0.16796875
shuffled,shuffled_s2,40,0.359375
shuffled,shuffled_s2,50,0.38671875
shuffled,shuffled_s2,60,0.79296875
shuffled,shuffled_s2,70,0.8359375
shuffled,shuffled_s2,80,0.78515625
shuffled,shuffled_s2,90,1.0
shuffled,shuffled_s2,100,0.96484375
shuffled,shuffled_s2,110,1.0
shuffled,shuffled_s2,120,1.0
shuffled,shuffled_s2,130,0.95703125
shuffled,shuffled_s2,140,1.0
shuffled,shuffled_s2,150,1.0
shuffled,shuffled_s2,160,1.0
shuffled,shuffled_s2,170,1.0
shuffled,shuffled_s2,180,1.0
shuffled,shuffled_s2,190,1.0
shuffled,shuffled_s2,200,1.0
shuffled,shuffled_s2,210,1.0
shuffled,shuffled_s2,220,1.0
shuffled,shuffled_s2,230,1.0
shuffled,shuffled_s2,240,1.0
shuffled,shuffled_s2,250,1.0
shuffled,shuffled_s2,260,1.0
shuffled,shuffled_s2,270,1.0
shuffled,shuffled_s2,280,1.0
shuffled,shuffled_s2,290,1.0
shuffled,shuffled_s2,300,1.0
readout_only,readout_only_s0,10,0.16796875
readout_only,readout_only_s0,20,0.1796875
readout_only,readout_only_s0,30,0.28125
readout_only,readout_only_s0,40,0.46875
readout_only,readout_only_s0,50,0.61328125
readout_only,readout_only_s0,60,0.734375
readout_only,readout_only_s0,70,0.8671875
readout_only,readout_only_s0,80,0.8984375
readout_only,readout_only_s0,90,0.94140625
readout_only,readout_only_s0,100,0.9765625
readout_only,readout_only_s0,110,0.97265625
readout_only,readout_only_s0,120,0.98828125
readout_only,readout_only_s0,130,0.99609375
readout_only,readout_only_s0,140,1.0
readout_only,readout_only_s0,150,1.0
readout_only,readout_only_s0,160,1.0
readout_only,readout_only_s0,170,1.0
readout_only,readout_only_s0,180,1.0
readout_only,readout_only_s0,190,1.0
readout_only,readout_only_s0,200,1.0
readout_only,readout_only_s0,210,1.0
readout_only,readout_only_s0,220,1.0
readout_only,readout_only_s0,230,1.0
readout_only,readout_only_s0,240,1.0
readout_only,readout_only_s0,250,1.0
readout_only,readout_only_s0,260,1.0
readout_only,readout_only_s0,270,1.0
readout_only,readout_only_s0,280,1.0
readout_only,readout_only_s0,290,1.0
readout_only,readout_only_s0,300,1.0
readout_only,readout_only_s1,10,0.16796875
readout_only,readout_only_s1,20,0.2578125
readout_only,readout_only_s1,30,0.3125
readout_only,readout_only_s1,40,0.4296875
readout_only,readout_only_s1,50,0.49609375
readout_only,readout_only_s1,60,0.6953125
readout_only,readout_only_s1,70,0.87890625
readout_only,readout_only_s1,80,0.94140625
readout_only,readout_only_s1,90,0.96875
readout_only,readout_only_s1,100,0.953125
readout_only,readout_only_s1,110,0.98046875
readout_only,readout_only_s1,120,0.99609375
readout_only,readout_only_s1,130,0.98828125
readout_only,readout_only_s1,140,0.99609375
readout_only,readout_only_s1,150,1.0
readout_only,readout_only_s1,160,1.0
readout_only,readout_only_s1,170,1.0
readout_only,readout_only_s1,180,1.0
readout_only,readout_only_s1,190,1.0
readout_only,readout_only_s1,200,1.0
readout_only,readout_only_s1,210,1.0
readout_only,readout_only_s1,220,1.0
readout_only,readout_only_s1,230,1.0
readout_only,readout_only_s1,240,1.0
readout_only,readout_only_s1,250,1.0
readout_only,readout_only_s1,260,1.0
readout_only,readout_only_s1,270,1.0
readout_only,readout_only_s1,280,1.0
readout_only,readout_only_s1,290,1.0
readout_only,readout_only_s1,300,1.0
readout_only,readout_only_s2,10,0.16796875
readout_only,readout_only_s2,20,0.24609375
readout_only,readout_only_s2,30,0.203125
readout_only,readout_only_s2,40,0.46484375
readout_only,readout_only_s2,50,0.53125
readout_only,readout_only_s2,60,0.765625
readout_only,readout_only_s2,70,0.8828125
readout_only,readout_only_s2,80,0.9140625
readout_only,readout_only_s2,90,0.92578125
readout_only,readout_only_s2,100,0.984375
readout_only,readout_only_s2,110,0.99609375
readout_only,readout_only_s2,120,0.98828125
readout_only,readout_only_s2,130,0.98828125
readout_only,readout_only_s2,140,0.99609375
readout_only,readout_only_s2,150,0.99609375
readout_only,readout_only_s2,160,1.0
readout_only,readout_only_s2,170,1.0
readout_only,readout_only_s2,180,1.0
readout_only,readout_only_s2,190,1.0
readout_only,readout_only_s2,200,1.0
readout_only,readout_only_s2,210,1.0
readout_only,readout_only_s2,220,1.0
readout_only,readout_only_s2,230,1.0
readout_only,readout_only_s2,240,1.0
readout_only,readout_only_s2,250,1.0
readout_only,readout_only_s2,260,1.0
readout_only,readout_only_s2,270,1.0
readout_only,readout_only_s2,280,1.0
readout_only,readout_only_s2,290,1.0
readout_only,readout_only_s2,300,1.0
